, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  19  Sequence:  4  Sequence mean error:  tensor(2.5078, device='cuda:0')  Sequence final error:  tensor(6.6617, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  19  Sequence:  5  Sequence mean error:  tensor(0.5768, device='cuda:0')  Sequence final error:  tensor(1.4877, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  20  Sequence:  1  Sequence mean error:  tensor(0.7810, device='cuda:0')  Sequence final error:  tensor(1.0426, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  20  Sequence:  2  Sequence mean error:  tensor(0.7120, device='cuda:0')  Sequence final error:  tensor(0.6984, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  20  Sequence:  3  Sequence mean error:  tensor(0.5666, device='cuda:0')  Sequence final error:  tensor(0.4729, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  20  Sequence:  4  Sequence mean error:  tensor(0.4461, device='cuda:0')  Sequence final error:  tensor(0.8168, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  20  Sequence:  5  Sequence mean error:  tensor(0.4969, device='cuda:0')  Sequence final error:  tensor(0.8294, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  21  Sequence:  1  Sequence mean error:  tensor(0.4978, device='cuda:0')  Sequence final error:  tensor(0.8289, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  21  Sequence:  2  Sequence mean error:  tensor(0.4701, device='cuda:0')  Sequence final error:  tensor(0.8238, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  21  Sequence:  3  Sequence mean error:  tensor(0.4469, device='cuda:0')  Sequence final error:  tensor(0.7779, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  21  Sequence:  4  Sequence mean error:  tensor(1.0152, device='cuda:0')  Sequence final error:  tensor(3.7481, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  21  Sequence:  5  Sequence mean error:  tensor(0.9324, device='cuda:0')  Sequence final error:  tensor(3.0004, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  22  Sequence:  1  Sequence mean error:  tensor(0.8283, device='cuda:0')  Sequence final error:  tensor(1.2708, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  22  Sequence:  2  Sequence mean error:  tensor(1.3133, device='cuda:0')  Sequence final error:  tensor(3.1028, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  22  Sequence:  3  Sequence mean error:  tensor(1.1938, device='cuda:0')  Sequence final error:  tensor(2.8958, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  22  Sequence:  4  Sequence mean error:  tensor(1.7136, device='cuda:0')  Sequence final error:  tensor(4.8253, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  22  Sequence:  5  Sequence mean error:  tensor(2.1301, device='cuda:0')  Sequence final error:  tensor(6.6413, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  23  Sequence:  1  Sequence mean error:  tensor(0.3304, device='cuda:0')  Sequence final error:  tensor(0.4546, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  23  Sequence:  2  Sequence mean error:  tensor(0.7265, device='cuda:0')  Sequence final error:  tensor(1.3515, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  23  Sequence:  3  Sequence mean error:  tensor(0.7689, device='cuda:0')  Sequence final error:  tensor(1.4427, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  23  Sequence:  4  Sequence mean error:  tensor(0.7176, device='cuda:0')  Sequence final error:  tensor(0.9126, device='cuda:0')  time:  0.29308509826660156
Current file :  biwi_hotel_4.txt  Batch :  23  Sequence:  5  Sequence mean error:  tensor(0.7788, device='cuda:0')  Sequence final error:  tensor(1.3785, device='cuda:0')  time:  0.29308509826660156
